id,title,category,pillar,type,image,description,alt,source
electricity-from-power-plant-to-home,Electricity: From the Power Plant to You,Curiosity Library,Education,STEM Infographic,/assets/media/electricity-from-power-plant-to-home.webp,"A visual explanation of how electricity is generated, transmitted, distributed, and used.",Educational infographic showing how electricity travels from a power plant to homes.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
everything-is-made-of-atoms,"Everything We See, Touch, and Are Is Made of Atoms",Curiosity Library,Education,STEM Infographic,/assets/media/everything-is-made-of-atoms.webp,"A family-friendly introduction to atoms, elements, molecules, and matter.","Educational infographic explaining atoms, elements, molecules, and matter.",FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
code-org-app-lab-blocks,Code.org App Lab Blocks in Action,Kids & Teens,Education,Coding Guide,/assets/media/code-org-app-lab-blocks.webp,A visual guide to common Code.org App Lab blocks and how students can use them in projects.,Coding infographic showing Code.org App Lab blocks and examples.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
brain-development-over-time,Your Brain Is Built Over Time,Curiosity Library,Health,Learning Infographic,/assets/media/brain-development-over-time.webp,"A visual overview of how experiences, habits, stress, and learning can shape the brain over time.",Educational brain-development infographic comparing supportive and harmful influences.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
bios-vs-uefi,BIOS vs. UEFI,Cybersecurity,Education,Technology Infographic,/assets/media/bios-vs-uefi.webp,"A comparison of BIOS and UEFI startup firmware, features, and security.",Technology infographic comparing BIOS and UEFI.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
how-a-computer-works,How a Computer Works,Cybersecurity,Education,Technology Infographic,/assets/media/how-a-computer-works.webp,A systems-level overview of computer components and how information moves through them.,Technology infographic explaining how a computer works and how components connect.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
understanding-dev-null,Understanding /dev/null,Cybersecurity,Education,Linux Infographic,/assets/media/understanding-dev-null.webp,"A Linux learning visual explaining /dev/null, output redirection, and common examples.",Linux infographic explaining the /dev/null device and redirection.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
how-internet-data-travels,How Internet Data Travels,Cybersecurity,Education,Networking Infographic,/assets/media/how-internet-data-travels.webp,"A visual explanation of how internet data moves between devices, networks, providers, and services.",Networking infographic showing how internet data travels.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
how-your-data-travels,How Your Data Travels,Cybersecurity,Education,Networking Infographic,/assets/media/how-your-data-travels.webp,"A family-friendly visual showing how personal data moves across devices, networks, services, and the cloud.",Cybersecurity infographic showing how personal data travels through networks and cloud services.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
restaurant-network-map,Restaurant Network Map,Cybersecurity,Education,Network Diagram,/assets/media/restaurant-network-map.webp,"A sample restaurant network map showing devices, connections, services, and security zones.",Network diagram of a restaurant technology environment.,FamilyPD original educational visual; created with AI assistance where applicable. References appear within the graphic or its related learning page.
